-- run_test.py: invoking following command in '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/src/irobot_create_msgs':
No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/action/detail/wall_follow__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/action/dock.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/action/drive_arc.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/action/drive_distance.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/action/led_animation.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/action/navigate_to_position.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/action/rotate_angle.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/action/undock.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/action/wall_follow.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/audio_note.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/audio_note_vector.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/button.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/audio_note__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/audio_note__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/audio_note__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/audio_note_vector__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/audio_note_vector__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/audio_note_vector__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/button__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/button__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/button__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/dock_status__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/dock_status__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/dock_status__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/hazard_detection__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/hazard_detection__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/hazard_detection__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/hazard_detection_vector__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/hazard_detection_vector__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/hazard_detection_vector__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/interface_buttons__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/interface_buttons__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/interface_buttons__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/ir_intensity__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/ir_intensity__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/ir_intensity__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/ir_intensity_vector__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/ir_intensity_vector__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/ir_intensity_vector__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/ir_opcode__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/ir_opcode__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/ir_opcode__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/kidnap_status__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/kidnap_status__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/kidnap_status__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/led_color__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/led_color__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/led_color__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/lightring_leds__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/lightring_leds__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/lightring_leds__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/mouse__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/mouse__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/mouse__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/slip_status__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/slip_status__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/slip_status__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/stop_status__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/stop_status__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/stop_status__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/wheel_status__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/wheel_status__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/wheel_status__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/wheel_ticks__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/wheel_ticks__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/wheel_ticks__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/wheel_vels__builder.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/wheel_vels__struct.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/detail/wheel_vels__traits.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/dock_status.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/hazard_detection.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/hazard_detection_vector.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/interface_buttons.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/ir_intensity.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/ir_intensity_vector.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/ir_opcode.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/kidnap_status.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/led_color.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/lightring_leds.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/mouse.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/slip_status.hpp'

No code style divergence in file '/home/robotnik/OneDrive/Documents/U_of_I/2022-23_UofI/CS553_AdvancedRobotics/HW/1_Drive_Figure_4/build/irobot_create_msgs/rosidl_generator_cpp/irobot_create_msgs/msg/stop_status.hpp'

